"id","breath_id","R","C","time_step","u_in","u_out","pressure"
81761,1648,20,10,0,1.82828575690471,0,6.25930457777641
81762,1648,20,10,0.0336215496063232,8.58186755149999,0,5.69688741416669
81763,1648,20,10,0.0674598217010498,7.23206635883664,0,7.94655606860561
81764,1648,20,10,0.101070642471313,6.76807219885861,0,8.71987966856899
81765,1648,20,10,0.134683609008789,6.81025348612934,0,8.64957752311777
81766,1648,20,10,0.168390989303589,6.38844061342204,0,9.35259897762993
81767,1648,20,10,0.201971292495728,6.13535288979766,0,9.77441185033724
81768,1648,20,10,0.235726118087769,5.37608971892453,0,11.0398504684591
81769,1648,20,10,0.269574880599976,5.29172714438307,0,11.1804547593616
81770,1648,20,10,0.303229570388794,4.74337040986359,0,12.0943826502274
81771,1648,20,10,0.337028503417969,4.61682654805139,0,12.305289086581
81772,1648,20,10,0.370663642883301,4.49028268623921,0,12.5161955229347
81773,1648,20,10,0.404562950134277,4.32155753715628,0,12.7974041047395
81774,1648,20,10,0.438359260559082,3.73101951536607,0,13.7816341410565
81775,1648,20,10,0.472028017044067,3.7732008026368,0,13.7113319956053
81776,1648,20,10,0.506035566329956,3.60447565355388,0,13.9925405774102
81777,1648,20,10,0.539574146270752,3.43575050447096,0,14.2737491592151
81778,1648,20,10,0.573045492172241,3.39356921720024,0,14.3440513046663
81779,1648,20,10,0.606571674346924,2.88739376995148,0,15.1876770500809
81780,1648,20,10,0.640584707260132,3.01393763176366,0,14.9767706137272
81781,1648,20,10,0.674220323562622,2.46558089724418,0,15.890698504593
81782,1648,20,10,0.707962036132812,2.71866862086856,0,15.4688856318857
81783,1648,20,10,0.74178409576416,2.04376802453689,0,16.5937199591052
81784,1648,20,10,0.775368928909302,2.42339960997345,0,15.9610006500443
81785,1648,20,10,0.809025764465332,1.91722416272469,0,16.8046263954589
81786,1648,20,10,0.842809438705444,2.17031188634906,0,16.3828135227516
81787,1648,20,10,0.876338481903076,1.7906803009125,0,17.0155328318125
81788,1648,20,10,0.910154104232788,1.95940544999543,0,16.7343242500076
81789,1648,20,10,0.943766593933105,1.87504287545396,0,16.8749285409101
81790,1648,20,10,0.977653026580811,1.83286158818323,0,16.9452306863613
91281,1857,5,10,0,0,0,6.18900243232522
91282,1857,5,10,0.0336637496948242,0.751089798688809,0,5.97809599597156
91283,1857,5,10,0.0675673484802246,1.31059897474848,0,6.11870028687399
91284,1857,5,10,0.101549863815308,1.8834295481673,0,5.90779385052035
91285,1857,5,10,0.135602712631226,2.36651928199625,0,6.11870028687399
91286,1857,5,10,0.169039249420166,2.76192280244281,0,6.54051315958128
91287,1857,5,10,0.202947854995728,3.10853147561573,0,6.96232603228859
91288,1857,5,10,0.236442804336548,3.41124619247931,0,7.31383675954467
