"id","breath_id","R","C","time_step","u_in","u_out","pressure","R_C","tot_u_in","last_u_in","first_u_in","max_u_in","u_in_diff1","u_in_diff2","u_in_diff_max","n_change_sign_u_in","clust"
56241,1111,5,50,0,100,0,5.55628312326425,"5_50",100,0,100,100,100,100,0,6,3
56242,1111,5,50,0.0339133739471436,100,0,10.2665268684958,"5_50",200,0,100,100,0,100,0,6,3
56243,1111,5,50,0.0681054592132568,100,0,13.5707277047029,"5_50",300,0,100,100,0,0,0,6,3
56244,1111,5,50,0.102378129959106,100,0,17.0155328318125,"5_50",400,0,100,100,0,0,0,6,3
56245,1111,5,50,0.136507749557495,100,0,18.2106693044832,"5_50",500,0,100,100,0,0,0,6,3
56246,1111,5,50,0.17045521736145,100,0,19.6870143589587,"5_50",600,0,100,100,0,0,0,6,3
56247,1111,5,50,0.204371452331543,100,0,20.9524529770806,"5_50",700,0,100,100,0,0,0,6,3
56248,1111,5,50,0.238428115844727,100,0,21.8663808679464,"5_50",800,0,100,100,0,0,0,6,3
56249,1111,5,50,0.272221803665161,100,0,22.8506109042634,"5_50",900,0,100,100,0,0,0,6,3
56250,1111,5,50,0.306429624557495,100,0,23.9754452314829,"5_50",1000,0,100,100,0,0,0,6,3
56251,1111,5,50,0.340558767318726,100,0,25.2408838496048,"5_50",1100,0,100,100,0,0,0,6,3
56252,1111,5,50,0.374419450759888,100,0,26.928135340434,"5_50",1200,0,100,100,0,0,0,6,3
56253,1111,5,50,0.408292293548584,98.2309381712323,0,28.3341782494583,"5_50",1298.23093817123,0,100,100,-1.7690618287677,-1.7690618287677,-1.7690618287677,6,3
56254,1111,5,50,0.442432880401611,92.6756484516754,0,28.896595413068,"5_50",1390.90658662291,0,100,100,-5.5552897195569,-7.3243515483246,-7.3243515483246,6,3
56255,1111,5,50,0.476347923278809,88.28622999086,0,29.3184082857753,"5_50",1479.19281661377,0,100,100,-4.38941846081541,-9.9447081803723,-11.71377000914,6,3
56256,1111,5,50,0.510494470596313,91.0032053264209,0,28.9668975585192,"5_50",1570.19602194019,0,100,100,2.7169753355609,-1.6724431252545,-8.9967946735791,6,3
56257,1111,5,50,0.544433116912842,82.0717088371587,0,29.880825449385,"5_50",1652.26773077735,0,100,100,-8.9314964892622,-6.2145211537013,-17.9282911628413,6,3
56258,1111,5,50,0.578457832336426,73.5474933446336,0,30.7244511947996,"5_50",1725.81522412198,0,100,100,-8.5242154925251,-17.4557119817873,-26.4525066553664,6,3
56259,1111,5,50,0.612282514572144,75.3000354181059,0,30.4432426129948,"5_50",1801.11525954009,0,100,100,1.75254207347231,-6.77167341905279,-24.6999645818941,6,3
56260,1111,5,50,0.646461486816406,60.1492413486446,0,31.9898898129215,"5_50",1861.26450088873,0,100,100,-15.1507940694613,-13.398251995989,-39.8507586513554,6,3
