"id","breath_id","R","C","time_step","u_in","u_out","pressure","R_C","tot_u_in","last_u_in","first_u_in","max_u_in","u_in_diff1","u_in_diff2","u_in_diff_max","n_change_sign_u_in","clust"
38721,751,20,50,0,0,0,6.47021101413007,"20_50",0,0,0,10.3206146336424,0,0,-10.3206146336424,5,2
38722,751,20,50,0.0342245101928711,0,0,6.04839814142278,"20_50",0,0,0,10.3206146336424,0,0,-10.3206146336424,5,2
38723,751,20,50,0.0693812370300293,0,0,6.47021101413007,"20_50",0,0,0,10.3206146336424,0,0,-10.3206146336424,5,2
38724,751,20,50,0.103671789169312,0,0,6.25930457777641,"20_50",0,0,0,10.3206146336424,0,0,-10.3206146336424,5,2
38725,751,20,50,0.138219356536865,0,0,6.18900243232522,"20_50",0,0,0,10.3206146336424,0,0,-10.3206146336424,5,2
38726,751,20,50,0.173364877700806,0.797552401270949,0,6.11870028687399,"20_50",0.797552401270949,0,0,10.3206146336424,0.797552401270949,0.797552401270949,-9.52306223237145,5,2
38727,751,20,50,0.207579374313354,1.65075268347743,0,6.47021101413007,"20_50",2.44830508474838,0,0,10.3206146336424,0.853200282206481,1.65075268347743,-8.66986195016497,5,2
38728,751,20,50,0.24174165725708,2.43018321644658,0,6.54051315958128,"20_50",4.87848830119496,0,0,10.3206146336424,0.77943053296915,1.63263081517563,-7.89043141719582,5,2
38729,751,20,50,0.27705979347229,3.10860954171847,0,6.82172174138615,"20_50",7.98709784291343,0,0,10.3206146336424,0.67842632527189,1.45785685824104,-7.21200509192393,5,2
38730,751,20,50,0.31135106086731,3.6347937061618,0,7.17323246864223,"20_50",11.6218915490752,0,0,10.3206146336424,0.52618416444333,1.20461048971522,-6.6858209274806,5,2
38731,751,20,50,0.345655679702759,3.9468385213571,0,7.8762539231544,"20_50",15.5687300704323,0,0,10.3206146336424,0.3120448151953,0.83822897963863,-6.3737761122853,5,2
38732,751,20,50,0.380706071853638,4.33688897597479,0,7.52474319589832,"20_50",19.9056190464071,0,0,10.3206146336424,0.39005045461769,0.70209526981299,-5.98372565766761,5,2
38733,751,20,50,0.415044784545898,4.47760357191531,0,8.36836894131291,"20_50",24.3832226183224,0,0,10.3206146336424,0.14071459594052,0.53076505055821,-5.84301106172709,5,2
38734,751,20,50,0.449370622634888,4.48277247260256,0,8.86048395947143,"20_50",28.865995090925,0,0,10.3206146336424,0.0051689006872504,0.14588349662777,-5.83784216103984,5,2
38735,751,20,50,0.484405040740967,4.41404770584873,0,9.1416925412763,"20_50",33.2800427967737,0,0,10.3206146336424,-0.0687247667538307,-0.0635558660665803,-5.90656692779367,5,2
38736,751,20,50,0.518427133560181,4.20823616004187,0,9.70410970488603,"20_50",37.4882789568156,0,0,10.3206146336424,-0.20581154580686,-0.274536312560691,-6.11237847360053,5,2
38737,751,20,50,0.552764654159546,3.95965197736975,0,9.91501614123965,"20_50",41.4479309341853,0,0,10.3206146336424,-0.24858418267212,-0.45439572847898,-6.36096265627265,5,2
38738,751,20,50,0.587993860244751,3.88798372034713,0,9.28229683217872,"20_50",45.3359146545325,0,0,10.3206146336424,-0.0716682570226199,-0.32025243969474,-6.43263091329527,5,2
38739,751,20,50,0.622281551361084,3.80466074571171,0,9.35259897762993,"20_50",49.1405754002442,0,0,10.3206146336424,-0.0833229746354203,-0.15499123165804,-6.51595388793069,5,2
38740,751,20,50,0.656287908554077,3.69146844227839,0,9.49320326853236,"20_50",52.8320438425226,0,0,10.3206146336424,-0.11319230343332,-0.19651527806874,-6.62914619136401,5,2
38741,751,20,50,0.691481590270996,3.56353539366641,0,9.56350541398359,"20_50",56.395579236189,0,0,10.3206146336424,-0.12793304861198,-0.2411253520453,-6.75707923997599,5,2
38742,751,20,50,0.725639343261719,5.82472185831177,0,9.6338075594348,"20_50",62.2203010945007,0,0,10.3206146336424,2.26118646464536,2.13325341603338,-4.49589277533063,5,2
38743,751,20,50,0.759743452072144,7.90436998277186,0,10.8992461775567,"20_50",70.1246710772726,0,0,10.3206146336424,2.07964812446009,4.34083458910545,-2.41624465087054,5,2
38744,751,20,50,0.795105934143066,9.701411175615,0,12.3755912320322,"20_50",79.8260822528876,0,0,10.3206146336424,1.79704119284314,3.87668931730323,-0.6192034580274,5,2
38745,751,20,50,0.829386711120605,10.3206146336424,0,13.7816341410565,"20_50",90.14669688653,0,0,10.3206146336424,0.6192034580274,2.41624465087054,0,5,2
38746,751,20,50,0.863457441329956,6.74756039282009,0,14.906468468276,"20_50",96.8942572793501,0,0,10.3206146336424,-3.57305424082231,-2.95385078279491,-3.57305424082231,5,2
38747,751,20,50,0.898437023162842,4.1543588552878,0,13.8519362865078,"20_50",101.048616134638,0,0,10.3206146336424,-2.59320153753229,-6.1662557783546,-6.1662557783546,5,2
38748,751,20,50,0.932515859603882,1.62793382601164,0,12.5161955229347,"20_50",102.67654996065,0,0,10.3206146336424,-2.52642502927616,-5.11962656680845,-8.69268080763076,5,2
38749,751,20,50,0.966438770294189,0,0,12.0943826502274,"20_50",102.67654996065,0,0,10.3206146336424,-1.62793382601164,-4.1543588552878,-10.3206146336424,5,2
38750,751,20,50,1.00166201591492,0,1,12.1646847956786,"20_50",102.67654996065,0,0,10.3206146336424,0,-1.62793382601164,-10.3206146336424,5,2
70001,1390,50,50,0,0,0,7.0326281777398,"50_50",0,8.20549993244183,0,8.43437971645426,0,0,-8.43437971645426,4,2
70002,1390,50,50,0.0318210124969482,0.669712686238758,0,5.41567883236183,"50_50",0.669712686238758,8.20549993244183,0,8.43437971645426,0.669712686238758,0.669712686238758,-7.7646670302155,4,2
70003,1390,50,50,0.0634663105010986,1.80393460759675,0,6.82172174138615,"50_50",2.47364729383551,8.20549993244183,0,8.43437971645426,1.13422192135799,1.80393460759675,-6.63044510885751,4,2
